All Destinations with 1/1 Billing Cycle except for Mexico (Mexico all with 60/60),,,,
,,,,
,,,,
,,,,
,,,,
Prefix,Destination Name,Rate(USD),Status,Effective From
9377,Afghanistan Areeba Mobile,0.1853,No Change,1st June 2013
9375,Afghanistan At Mobile,0.1705,No Change,1st June 2013
9370,Afghanistan Awcc Mobile,0.174,No Change,1st June 2013
9378,Afghanistan Etisalat Mobile,0.17,No Change,1st June 2013
93,Afghanistan Other,0.1825,No Change,1st June 2013
9372,Afghanistan Roshan Mobile,0.184,No Change,1st June 2013
9379,Afghanistan Roshan Mobile,0.184,No Change,1st June 2013
35521160,Albania Amc Fixed,0.162,Decrease,1st June 2013
35521250,Albania Amc Fixed,0.162,Decrease,1st June 2013
35521440,Albania Amc Fixed,0.162,Decrease,1st June 2013
35521650,Albania Amc Fixed,0.162,Decrease,1st June 2013
35521740,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526160,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526250,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526490,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526650,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526673,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526723,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526770,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526840,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526890,Albania Amc Fixed,0.162,Decrease,1st June 2013
35526950,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527140,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527253,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527440,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527470,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527490,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527523,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527623,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527660,Albania Amc Fixed,0.162,Decrease,1st June 2013
35527840,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528190,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528290,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528350,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528390,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528450,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528570,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528623,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528763,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528790,Albania Amc Fixed,0.162,Decrease,1st June 2013
35528870,Albania Amc Fixed,0.162,Decrease,1st June 2013
35529140,Albania Amc Fixed,0.162,Decrease,1st June 2013
35529240,Albania Amc Fixed,0.162,Decrease,1st June 2013
35529280,Albania Amc Fixed,0.162,Decrease,1st June 2013
35529370,Albania Amc Fixed,0.162,Decrease,1st June 2013
35529590,Albania Amc Fixed,0.162,Decrease,1st June 2013
35529680,Albania Amc Fixed,0.162,Decrease,1st June 2013
35529723,Albania Amc Fixed,0.162,Decrease,1st June 2013
35531150,Albania Amc Fixed,0.162,Decrease,1st June 2013
35531350,Albania Amc Fixed,0.162,Decrease,1st June 2013
35536150,Albania Amc Fixed,0.162,Decrease,1st June 2013
35536290,Albania Amc Fixed,0.162,Decrease,1st June 2013
35536340,Albania Amc Fixed,0.162,Decrease,1st June 2013
35536580,Albania Amc Fixed,0.162,Decrease,1st June 2013
35536670,Albania Amc Fixed,0.162,Decrease,1st June 2013
35537140,Albania Amc Fixed,0.162,Decrease,1st June 2013
35537450,Albania Amc Fixed,0.162,Decrease,1st June 2013
35537870,Albania Amc Fixed,0.162,Decrease,1st June 2013
35538150,Albania Amc Fixed,0.162,Decrease,1st June 2013
35538623,Albania Amc Fixed,0.162,Decrease,1st June 2013
35539450,Albania Amc Fixed,0.162,Decrease,1st June 2013
35547210,Albania Amc Fixed,0.162,Decrease,1st June 2013
35547425,Albania Amc Fixed,0.162,Decrease,1st June 2013
35547550,Albania Amc Fixed,0.162,Decrease,1st June 2013
35547700,Albania Amc Fixed,0.162,Decrease,1st June 2013
35547870,Albania Amc Fixed,0.162,Decrease,1st June 2013
35548270,Albania Amc Fixed,0.162,Decrease,1st June 2013
35548570,Albania Amc Fixed,0.162,Decrease,1st June 2013
35548660,Albania Amc Fixed,0.162,Decrease,1st June 2013
35548855,Albania Amc Fixed,0.162,Decrease,1st June 2013
35549440,Albania Amc Fixed,0.162,Decrease,1st June 2013
35549930,Albania Amc Fixed,0.162,Decrease,1st June 2013
35551240,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557180,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557260,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557390,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557463,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557543,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557584,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557643,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557683,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557770,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557865,Albania Amc Fixed,0.162,Decrease,1st June 2013
35557993,Albania Amc Fixed,0.162,Decrease,1st June 2013
35558150,Albania Amc Fixed,0.162,Decrease,1st June 2013
35558580,Albania Amc Fixed,0.162,Decrease,1st June 2013
35558852,Albania Amc Fixed,0.162,Decrease,1st June 2013
35558953,Albania Amc Fixed,0.162,Decrease,1st June 2013
35586260,Albania Amc Fixed,0.162,Decrease,1st June 2013
35586344,Albania Amc Fixed,0.162,Decrease,1st June 2013
35586372,Albania Amc Fixed,0.162,Decrease,1st June 2013
35586472,Albania Amc Fixed,0.162,Decrease,1st June 2013
35586622,Albania Amc Fixed,0.162,Decrease,1st June 2013
35586672,Albania Amc Fixed,0.162,Decrease,1st June 2013
35586750,Albania Amc Fixed,0.162,Decrease,1st June 2013
35587224,Albania Amc Fixed,0.162,Decrease,1st June 2013
35587392,Albania Amc Fixed,0.162,Decrease,1st June 2013
35587790,Albania Amc Fixed,0.162,Decrease,1st June 2013
35588222,Albania Amc Fixed,0.162,Decrease,1st June 2013
35588372,Albania Amc Fixed,0.162,Decrease,1st June 2013
35589480,Albania Amc Fixed,0.162,Decrease,1st June 2013
35589562,Albania Amc Fixed,0.162,Decrease,1st June 2013
35521550,Albania Amc Fixed,0.162,New Code,8th June 2013
35521551,Albania Amc Fixed,0.162,New Code,8th June 2013
35521552,Albania Amc Fixed,0.162,New Code,8th June 2013
35521553,Albania Amc Fixed,0.162,New Code,8th June 2013
35521554,Albania Amc Fixed,0.162,New Code,8th June 2013
35521555,Albania Amc Fixed,0.162,New Code,8th June 2013
35521556,Albania Amc Fixed,0.162,New Code,8th June 2013
35521557,Albania Amc Fixed,0.162,New Code,8th June 2013
35521558,Albania Amc Fixed,0.162,New Code,8th June 2013
35521559,Albania Amc Fixed,0.162,New Code,8th June 2013
35552630,Albania Amc Fixed,0.162,New Code,8th June 2013
35552631,Albania Amc Fixed,0.162,New Code,8th June 2013
35552632,Albania Amc Fixed,0.162,New Code,8th June 2013
35552633,Albania Amc Fixed,0.162,New Code,8th June 2013
35552634,Albania Amc Fixed,0.162,New Code,8th June 2013
35552635,Albania Amc Fixed,0.162,New Code,8th June 2013
35552636,Albania Amc Fixed,0.162,New Code,8th June 2013
35552637,Albania Amc Fixed,0.162,New Code,8th June 2013
35552638,Albania Amc Fixed,0.162,New Code,8th June 2013
35552639,Albania Amc Fixed,0.162,New Code,8th June 2013
35582900,Albania Amc Fixed,0.162,New Code,8th June 2013
35582901,Albania Amc Fixed,0.162,New Code,8th June 2013
35582902,Albania Amc Fixed,0.162,New Code,8th June 2013
35582903,Albania Amc Fixed,0.162,New Code,8th June 2013
35582904,Albania Amc Fixed,0.162,New Code,8th June 2013
35582905,Albania Amc Fixed,0.162,New Code,8th June 2013
35582906,Albania Amc Fixed,0.162,New Code,8th June 2013
35582907,Albania Amc Fixed,0.162,New Code,8th June 2013
35582908,Albania Amc Fixed,0.162,New Code,8th June 2013
35582909,Albania Amc Fixed,0.162,New Code,8th June 2013
35582910,Albania Amc Fixed,0.162,New Code,8th June 2013
35582911,Albania Amc Fixed,0.162,New Code,8th June 2013
35582912,Albania Amc Fixed,0.162,New Code,8th June 2013
35582913,Albania Amc Fixed,0.162,New Code,8th June 2013
35582914,Albania Amc Fixed,0.162,New Code,8th June 2013
35582915,Albania Amc Fixed,0.162,New Code,8th June 2013
35582916,Albania Amc Fixed,0.162,New Code,8th June 2013
35582917,Albania Amc Fixed,0.162,New Code,8th June 2013
35582918,Albania Amc Fixed,0.162,New Code,8th June 2013
35582919,Albania Amc Fixed,0.162,New Code,8th June 2013
35583400,Albania Amc Fixed,0.162,New Code,8th June 2013
35583401,Albania Amc Fixed,0.162,New Code,8th June 2013
35583402,Albania Amc Fixed,0.162,New Code,8th June 2013
35583403,Albania Amc Fixed,0.162,New Code,8th June 2013
35583404,Albania Amc Fixed,0.162,New Code,8th June 2013
