Location,Code,Platinum,Gold,Silver,Bronze
Afghanistan,93,0.1731,0.1704,0.1704,0.1677
Afghanistan Cellular-AT,9375,0.1848,0.1842,0.1763,0.1523
Afghanistan Cellular-AWCC,9370,0.1773,0.1381,0.1381,0.1281
Afghanistan Cellular-Areeba,9377,0.1949,0.1386,0.1176,0.0971
Afghanistan Cellular-Etisalat,9378,0.1688,0.1683,0.1082,0.0987
Afghanistan Cellular-Others,937,0.1917,0.1848,0.126,0.1208
Afghanistan Cellular-Roshan,9372,0.1864,0.1651,0.1365,0.1234
Afghanistan Cellular-Roshan,9379,0.1864,0.1651,0.1365,0.1234
Albania,355,0.1101,0.1059,0.1059,0.1028
Albania Cellular-AMC,35568,0.3233,0.2687,0.2687,0.2022
Albania Cellular-Eagle,35567,0.3065,0.2855,0.2855,0.2193
Albania Cellular-Plus,35566,0.2981,0.2865,0.2865,0.2309
Albania Cellular-Vodafone,35569,0.2855,0.165,0.165,0.1607
Albania-AMC,35521160,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521161,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521250,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521340,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521440,0.1746,0.1746,0.1746,0.1746
Albania-AMC,3552155,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521650,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521651,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521740,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521741,0.1746,0.1746,0.1746,0.1746
Albania-AMC,3552185,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35521940,0.1746,0.1746,0.1746,0.1746
Albania-AMC,3552253,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35522530,0.1746,0.1746,0.1746,0.1746
Albania-AMC,3552254,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35522540,0.1746,0.1746,0.1746,0.1746
Albania-AMC,3552440,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524401,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524402,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524403,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524404,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524405,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524406,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524407,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524408,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35524409,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526160,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526250,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526293,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526323,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526350,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526363,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526373,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526383,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526450,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526490,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526523,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526563,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526650,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526673,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526723,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526770,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526840,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526890,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526950,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526970,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35526990,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527023,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527043,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527053,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527070,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527140,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527190,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527223,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527253,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527270,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527323,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527350,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527370,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527390,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527440,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527470,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527490,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527523,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527550,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527570,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527590,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527623,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527660,0.1746,0.1746,0.1746,0.1746
Albania-AMC,35527693,0.1746,0.1746,0.1746,0.1746
