93,Afghanistan,+AC0-1
9375,Afghanistan Cellular+AC0-AT,+AC0-1
9370,Afghanistan Cellular+AC0-AWCC,+AC0-1
9376,Afghanistan Cellular+AC0-Areeba,+AC0-1
9377,Afghanistan Cellular+AC0-Areeba,+AC0-1
9378,Afghanistan Cellular+AC0-Etisalat,+AC0-1
937,Afghanistan Cellular+AC0-Others,+AC0-1
9372,Afghanistan Cellular+AC0-Roshan,+AC0-1
9379,Afghanistan Cellular+AC0-Roshan,+AC0-1
355,Albania,+AC0-1
35568,Albania Cellular+AC0-AMC,+AC0-1
35567,Albania Cellular+AC0-Eagle,+AC0-1
35566,Albania Cellular+AC0-Plus,+AC0-1
35569,Albania Cellular+AC0-Vodafone,+AC0-1
35521160,+ACI-Albania,AMC+ACI-,+AC0-1
35521161,+ACI-Albania,AMC+ACI-,+AC0-1
35521250,+ACI-Albania,AMC+ACI-,+AC0-1
35521340,+ACI-Albania,AMC+ACI-,+AC0-1
35521440,+ACI-Albania,AMC+ACI-,+AC0-1
3552155,+ACI-Albania,AMC+ACI-,+AC0-1
35521650,+ACI-Albania,AMC+ACI-,+AC0-1
35521651,+ACI-Albania,AMC+ACI-,+AC0-1
35521740,+ACI-Albania,AMC+ACI-,+AC0-1
35521741,+ACI-Albania,AMC+ACI-,+AC0-1
3552185,+ACI-Albania,AMC+ACI-,+AC0-1
35521940,+ACI-Albania,AMC+ACI-,+AC0-1
3552253,+ACI-Albania,AMC+ACI-,+AC0-1
35522530,+ACI-Albania,AMC+ACI-,+AC0-1
3552254,+ACI-Albania,AMC+ACI-,+AC0-1
35522540,+ACI-Albania,AMC+ACI-,+AC0-1
3552440,+ACI-Albania,AMC+ACI-,+AC0-1
35524401,+ACI-Albania,AMC+ACI-,+AC0-1
35524402,+ACI-Albania,AMC+ACI-,+AC0-1
35524403,+ACI-Albania,AMC+ACI-,+AC0-1
35524404,+ACI-Albania,AMC+ACI-,+AC0-1
35524405,+ACI-Albania,AMC+ACI-,+AC0-1
35524406,+ACI-Albania,AMC+ACI-,+AC0-1
35524407,+ACI-Albania,AMC+ACI-,+AC0-1
35524408,+ACI-Albania,AMC+ACI-,+AC0-1
35524409,+ACI-Albania,AMC+ACI-,+AC0-1
35526160,+ACI-Albania,AMC+ACI-,+AC0-1
35526250,+ACI-Albania,AMC+ACI-,+AC0-1
35526293,+ACI-Albania,AMC+ACI-,+AC0-1
35526323,+ACI-Albania,AMC+ACI-,+AC0-1
35526350,+ACI-Albania,AMC+ACI-,+AC0-1
35526363,+ACI-Albania,AMC+ACI-,+AC0-1
35526373,+ACI-Albania,AMC+ACI-,+AC0-1
35526383,+ACI-Albania,AMC+ACI-,+AC0-1
35526450,+ACI-Albania,AMC+ACI-,+AC0-1
35526490,+ACI-Albania,AMC+ACI-,+AC0-1
35526523,+ACI-Albania,AMC+ACI-,+AC0-1
35526563,+ACI-Albania,AMC+ACI-,+AC0-1
35526650,+ACI-Albania,AMC+ACI-,+AC0-1
35526673,+ACI-Albania,AMC+ACI-,+AC0-1
35526723,+ACI-Albania,AMC+ACI-,+AC0-1
35526770,+ACI-Albania,AMC+ACI-,+AC0-1
35526840,+ACI-Albania,AMC+ACI-,+AC0-1
35526890,+ACI-Albania,AMC+ACI-,+AC0-1
35526950,+ACI-Albania,AMC+ACI-,+AC0-1
35526970,+ACI-Albania,AMC+ACI-,+AC0-1
35526990,+ACI-Albania,AMC+ACI-,+AC0-1
35527023,+ACI-Albania,AMC+ACI-,+AC0-1
35527043,+ACI-Albania,AMC+ACI-,+AC0-1
35527053,+ACI-Albania,AMC+ACI-,+AC0-1
35527070,+ACI-Albania,AMC+ACI-,+AC0-1
35527140,+ACI-Albania,AMC+ACI-,+AC0-1
35527190,+ACI-Albania,AMC+ACI-,+AC0-1
35527223,+ACI-Albania,AMC+ACI-,+AC0-1
35527253,+ACI-Albania,AMC+ACI-,+AC0-1
35527270,+ACI-Albania,AMC+ACI-,+AC0-1
35527323,+ACI-Albania,AMC+ACI-,+AC0-1
35527350,+ACI-Albania,AMC+ACI-,+AC0-1
35527370,+ACI-Albania,AMC+ACI-,+AC0-1
35527390,+ACI-Albania,AMC+ACI-,+AC0-1
35527440,+ACI-Albania,AMC+ACI-,+AC0-1
35527470,+ACI-Albania,AMC+ACI-,+AC0-1
35527490,+ACI-Albania,AMC+ACI-,+AC0-1
35527523,+ACI-Albania,AMC+ACI-,+AC0-1
35527550,+ACI-Albania,AMC+ACI-,+AC0-1
