Prefix,Destination Name,Rate(USD)
880,Bangladesh Fixed,0.0110
88031,Bangladesh Fixed Chittagong,0.0110
8802,Bangladesh Fixed Dhaka,0.0110
880821,Bangladesh Fixed Sylet,0.0110
8801,Bangladesh Mobile,0.0110
88016,Bangladesh Mobile Airtel,0.0110
88018,Bangladesh Mobile Aktel,0.0110
88011,Bangladesh Mobile City,0.0110
88017,Bangladesh Mobile Grameen,0.0110
88019,Bangladesh Mobile Sheba,0.0110
88015,Bangladesh Mobile Teletalk,0.0110
9111,India Fixed,0.0090
9112,India Fixed,0.0090
9113,India Fixed,0.0090
9114,India Fixed,0.0090
9115,India Fixed,0.0090
9116,India Fixed,0.0090
9117,India Fixed,0.0090
9118,India Fixed,0.0090
9119,India Fixed,0.0090
9120,India Fixed,0.0090
9121,India Fixed,0.0090
9122,India Fixed,0.0090
9124,India Fixed,0.0090
9125171,India Fixed,0.0090
9126,India Fixed,0.0090
9127,India Fixed,0.0090
9128171,India Fixed,0.0090
912884,India Fixed,0.0090
9129,India Fixed,0.0090
9130,India Fixed,0.0090
9131,India Fixed,0.0090
9132,India Fixed,0.0090
9133,India Fixed,0.0090
9134,India Fixed,0.0090
9135,India Fixed,0.0090
9136,India Fixed,0.0090
9140,India Fixed,0.0090
9141,India Fixed,0.0090
9142,India Fixed,0.0090
9143,India Fixed,0.0090
9144,India Fixed,0.0090
9145,India Fixed,0.0090
9146,India Fixed,0.0090
91471,India Fixed,0.0090
914783,India Fixed,0.0090
9148,India Fixed,0.0090
914906,India Fixed,0.0090
914913,India Fixed,0.0090
91492,India Fixed,0.0090
91493,India Fixed,0.0090
914946,India Fixed,0.0090
91495,India Fixed,0.0090
914966,India Fixed,0.0090
914976,India Fixed,0.0090
9149946,India Fixed,0.0090
9151,India Fixed,0.0090
9152,India Fixed,0.0090
9153,India Fixed,0.0090
9154,India Fixed,0.0090
9155,India Fixed,0.0090
9156,India Fixed,0.0090
9157,India Fixed,0.0090
9158,India Fixed,0.0090
9159,India Fixed,0.0090
9161,India Fixed,0.0090
9162,India Fixed,0.0090
9163,India Fixed,0.0090
9164,India Fixed,0.0090
9165,India Fixed,0.0090
9166,India Fixed,0.0090
9167,India Fixed,0.0090
9168,India Fixed,0.0090
9171,India Fixed,0.0090
9172,India Fixed,0.0090
9173,India Fixed,0.0090
9174,India Fixed,0.0090
9175,India Fixed,0.0090
9176,India Fixed,0.0090
9177033,India Fixed,0.0090
91771,India Fixed,0.0090
9177214,India Fixed,0.0090
91774,India Fixed,0.0090
91775,India Fixed,0.0090
91776,India Fixed,0.0090
91777,India Fixed,0.0090
91779,India Fixed,0.0090
91780,India Fixed,0.0090
9178126,India Fixed,0.0090
91782,India Fixed,0.0090
9178563,India Fixed,0.0090
91788,India Fixed,0.0090
9179,India Fixed,0.0090
91803,India Fixed,0.0090
91804,India Fixed,0.0090
91806,India Fixed,0.0090
91807,India Fixed,0.0090
918104,India Fixed,0.0090
91811,India Fixed,0.0090
91813,India Fixed,0.0090
91815,India Fixed,0.0090
91816,India Fixed,0.0090
91817,India Fixed,0.0090
91818,India Fixed,0.0090
91819,India Fixed,0.0090
91820,India Fixed,0.0090
91821,India Fixed,0.0090
91822,India Fixed,0.0090
91823,India Fixed,0.0090
91824,India Fixed,0.0090
91825,India Fixed,0.0090
91826,India Fixed,0.0090
9182726,India Fixed,0.0090
9182766,India Fixed,0.0090
91828,India Fixed,0.0090
91830,India Fixed,0.0090
91831,India Fixed,0.0090
9183271,India Fixed,0.0090
91833,India Fixed,0.0090
91835,India Fixed,0.0090
91836,India Fixed,0.0090
91837,India Fixed,0.0090
91838,India Fixed,0.0090
91839,India Fixed,0.0090
91841,India Fixed,0.0090
91842,India Fixed,0.0090
91843,India Fixed,0.0090
91844,India Fixed,0.0090
91845,India Fixed,0.0090
9184626,India Fixed,0.0090
91847,India Fixed,0.0090
91848,India Fixed,0.0090
91851,India Fixed,0.0090
91853,India Fixed,0.0090
9185426,India Fixed,0.0090
91855,India Fixed,0.0090
91856,India Fixed,0.0090
9185726,India Fixed,0.0090
91859,India Fixed,0.0090
918616,India Fixed,0.0090
91862,India Fixed,0.0090
918636,India Fixed,0.0090
91864,India Fixed,0.0090
91865,India Fixed,0.0090
91866,India Fixed,0.0090
91867,India Fixed,0.0090
91868,India Fixed,0.0090
9187166,India Fixed,0.0090
91872,India Fixed,0.0090
9187426,India Fixed,0.0090
918766,India Fixed,0.0090
918776,India Fixed,0.0090
918786,India Fixed,0.0090
91879,India Fixed,0.0090
91881,India Fixed,0.0090
918836,India Fixed,0.0090
918846,India Fixed,0.0090
91885,India Fixed,0.0090
9188626,India Fixed,0.0090
