Prefix,Destination Name,Rate(USD)
9376,Afghanistan Areeba Mobile,0.1784
9377,Afghanistan Areeba Mobile,0.1784
9375,Afghanistan At Mobile,0.1671
9370,Afghanistan Awcc Mobile,0.1712
9378,Afghanistan Etisalat Mobile,0.1661
93,Afghanistan Other,0.1825
9372,Afghanistan Roshan Mobile,0.184
9379,Afghanistan Roshan Mobile,0.184
35521160,Albania Amc Fixed,0.1565
35521161,Albania Amc Fixed,0.1565
35521250,Albania Amc Fixed,0.1565
35521340,Albania Amc Fixed,0.1565
35521440,Albania Amc Fixed,0.1565
3552155,Albania Amc Fixed,0.1565
35521650,Albania Amc Fixed,0.1565
35521651,Albania Amc Fixed,0.1565
35521740,Albania Amc Fixed,0.1565
35521741,Albania Amc Fixed,0.1565
3552185,Albania Amc Fixed,0.1565
35521940,Albania Amc Fixed,0.1565
3552253,Albania Amc Fixed,0.1565
3552254,Albania Amc Fixed,0.1565
3552440,Albania Amc Fixed,0.1565
35526160,Albania Amc Fixed,0.1565
35526250,Albania Amc Fixed,0.1565
35526293,Albania Amc Fixed,0.1565
35526323,Albania Amc Fixed,0.1565
35526350,Albania Amc Fixed,0.1565
35526363,Albania Amc Fixed,0.1565
35526373,Albania Amc Fixed,0.1565
35526383,Albania Amc Fixed,0.1565
35526450,Albania Amc Fixed,0.1565
35526490,Albania Amc Fixed,0.1565
35526523,Albania Amc Fixed,0.1565
35526563,Albania Amc Fixed,0.1565
35526650,Albania Amc Fixed,0.1565
35526673,Albania Amc Fixed,0.1565
35526723,Albania Amc Fixed,0.1565
35526770,Albania Amc Fixed,0.1565
35526840,Albania Amc Fixed,0.1565
35526890,Albania Amc Fixed,0.1565
35526950,Albania Amc Fixed,0.1565
35526970,Albania Amc Fixed,0.1565
35526990,Albania Amc Fixed,0.1565
35527023,Albania Amc Fixed,0.1565
35527043,Albania Amc Fixed,0.1565
35527053,Albania Amc Fixed,0.1565
35527070,Albania Amc Fixed,0.1565
35527140,Albania Amc Fixed,0.1565
35527190,Albania Amc Fixed,0.1565
35527223,Albania Amc Fixed,0.1565
35527253,Albania Amc Fixed,0.1565
35527270,Albania Amc Fixed,0.1565
35527323,Albania Amc Fixed,0.1565
35527350,Albania Amc Fixed,0.1565
35527370,Albania Amc Fixed,0.1565
35527390,Albania Amc Fixed,0.1565
35527440,Albania Amc Fixed,0.1565
35527470,Albania Amc Fixed,0.1565
35527490,Albania Amc Fixed,0.1565
35527523,Albania Amc Fixed,0.1565
35527550,Albania Amc Fixed,0.1565
35527570,Albania Amc Fixed,0.1565
35527590,Albania Amc Fixed,0.1565
35527623,Albania Amc Fixed,0.1565
35527660,Albania Amc Fixed,0.1565
35527693,Albania Amc Fixed,0.1565
35527723,Albania Amc Fixed,0.1565
35527760,Albania Amc Fixed,0.1565
35527790,Albania Amc Fixed,0.1565
35527840,Albania Amc Fixed,0.1565
35527860,Albania Amc Fixed,0.1565
35527880,Albania Amc Fixed,0.1565
35527923,Albania Amc Fixed,0.1565
35527950,Albania Amc Fixed,0.1565
35527970,Albania Amc Fixed,0.1565
35527990,Albania Amc Fixed,0.1565
35528123,Albania Amc Fixed,0.1565
35528124,Albania Amc Fixed,0.1565
35528143,Albania Amc Fixed,0.1565
35528144,Albania Amc Fixed,0.1565
35528190,Albania Amc Fixed,0.1565
35528223,Albania Amc Fixed,0.1565
35528250,Albania Amc Fixed,0.1565
35528290,Albania Amc Fixed,0.1565
35528323,Albania Amc Fixed,0.1565
35528350,Albania Amc Fixed,0.1565
35528390,Albania Amc Fixed,0.1565
35528450,Albania Amc Fixed,0.1565
35528523,Albania Amc Fixed,0.1565
35528570,Albania Amc Fixed,0.1565
35528623,Albania Amc Fixed,0.1565
35528643,Albania Amc Fixed,0.1565
35528680,Albania Amc Fixed,0.1565
35528763,Albania Amc Fixed,0.1565
35528790,Albania Amc Fixed,0.1565
35528823,Albania Amc Fixed,0.1565
35528850,Albania Amc Fixed,0.1565
35528870,Albania Amc Fixed,0.1565
35528890,Albania Amc Fixed,0.1565
35528950,Albania Amc Fixed,0.1565
35528970,Albania Amc Fixed,0.1565
35528990,Albania Amc Fixed,0.1565
35529140,Albania Amc Fixed,0.1565
35529190,Albania Amc Fixed,0.1565
35529240,Albania Amc Fixed,0.1565
35529280,Albania Amc Fixed,0.1565
35529340,Albania Amc Fixed,0.1565
35529370,Albania Amc Fixed,0.1565
35529390,Albania Amc Fixed,0.1565
35529423,Albania Amc Fixed,0.1565
35529460,Albania Amc Fixed,0.1565
35529490,Albania Amc Fixed,0.1565
35529523,Albania Amc Fixed,0.1565
35529550,Albania Amc Fixed,0.1565
35529570,Albania Amc Fixed,0.1565
35529590,Albania Amc Fixed,0.1565
35529623,Albania Amc Fixed,0.1565
35529650,Albania Amc Fixed,0.1565
35529680,Albania Amc Fixed,0.1565
35529723,Albania Amc Fixed,0.1565
35529750,Albania Amc Fixed,0.1565
35529763,Albania Amc Fixed,0.1565
35529780,Albania Amc Fixed,0.1565
35531150,Albania Amc Fixed,0.1565
35531151,Albania Amc Fixed,0.1565
35531250,Albania Amc Fixed,0.1565
35531350,Albania Amc Fixed,0.1565
35531351,Albania Amc Fixed,0.1565
3553270,Albania Amc Fixed,0.1565
3553350,Albania Amc Fixed,0.1565
3553351,Albania Amc Fixed,0.1565
3553490,Albania Amc Fixed,0.1565
3553491,Albania Amc Fixed,0.1565
3553560,Albania Amc Fixed,0.1565
35536023,Albania Amc Fixed,0.1565
35536043,Albania Amc Fixed,0.1565
35536063,Albania Amc Fixed,0.1565
35536073,Albania Amc Fixed,0.1565
35536090,Albania Amc Fixed,0.1565
35536150,Albania Amc Fixed,0.1565
35536240,Albania Amc Fixed,0.1565
35536290,Albania Amc Fixed,0.1565
35536340,Albania Amc Fixed,0.1565
35536380,Albania Amc Fixed,0.1565
35536440,Albania Amc Fixed,0.1565
35536480,Albania Amc Fixed,0.1565
35536540,Albania Amc Fixed,0.1565
35536580,Albania Amc Fixed,0.1565
35536640,Albania Amc Fixed,0.1565
35536670,Albania Amc Fixed,0.1565
35536740,Albania Amc Fixed,0.1565
35536770,Albania Amc Fixed,0.1565
35536840,Albania Amc Fixed,0.1565
35536890,Albania Amc Fixed,0.1565
35536923,Albania Amc Fixed,0.1565
35536993,Albania Amc Fixed,0.1565
35537140,Albania Amc Fixed,0.1565
35537141,Albania Amc Fixed,0.1565
35537223,Albania Amc Fixed,0.1565
35537263,Albania Amc Fixed,0.1565
35537283,Albania Amc Fixed,0.1565
35537293,Albania Amc Fixed,0.1565
35537340,Albania Amc Fixed,0.1565
35537370,Albania Amc Fixed,0.1565
35537393,Albania Amc Fixed,0.1565
35537450,Albania Amc Fixed,0.1565
35537490,Albania Amc Fixed,0.1565
35537494,Albania Amc Fixed,0.1565
35537523,Albania Amc Fixed,0.1565
35537563,Albania Amc Fixed,0.1565
35537590,Albania Amc Fixed,0.1565
35537623,Albania Amc Fixed,0.1565
35537680,Albania Amc Fixed,0.1565
35537740,Albania Amc Fixed,0.1565
35537773,Albania Amc Fixed,0.1565
35537790,Albania Amc Fixed,0.1565
35537823,Albania Amc Fixed,0.1565
35537843,Albania Amc Fixed,0.1565
35537853,Albania Amc Fixed,0.1565
35537870,Albania Amc Fixed,0.1565
35537890,Albania Amc Fixed,0.1565
35538150,Albania Amc Fixed,0.1565
35538151,Albania Amc Fixed,0.1565
35538152,Albania Amc Fixed,0.1565
35538240,Albania Amc Fixed,0.1565
35538241,Albania Amc Fixed,0.1565
35538350,Albania Amc Fixed,0.1565
35538423,Albania Amc Fixed,0.1565
35538470,Albania Amc Fixed,0.1565
35538523,Albania Amc Fixed,0.1565
35538593,Albania Amc Fixed,0.1565
35538623,Albania Amc Fixed,0.1565
