Code,Location,Platinum
93,Afghanistan,0.16
9375,Afghanistan Cellular-AT,0.1695
9370,Afghanistan Cellular-AWCC,0.1685
9378,Afghanistan Cellular-Etisalat,0.1605
9376,Afghanistan Cellular-MTN,-1
9377,Afghanistan Cellular-MTN,-1
937,Afghanistan Cellular-Others,0.16
9372,Afghanistan Cellular-Roshan,0.1785
9379,Afghanistan Cellular-Roshan,0.1785
9374,Afghanistan Cellular-Salaam,0.1575
355,Albania,0.1119
35568,Albania Cellular-AMC,-1
35569,Albania Cellular-Vodafone,-1
35521160,Albania-AMC,0.1521
35521161,Albania-AMC,0.1521
35521250,Albania-AMC,0.1521
35521340,Albania-AMC,0.1521
35521440,Albania-AMC,0.1521
3552155,Albania-AMC,0.1521
35521650,Albania-AMC,0.1521
35521651,Albania-AMC,0.1521
35521740,Albania-AMC,0.1521
35521741,Albania-AMC,0.1521
3552185,Albania-AMC,0.1521
35521940,Albania-AMC,0.1521
3552253,Albania-AMC,0.1521
35522530,Albania-AMC,0.1521
3552254,Albania-AMC,0.1521
35522540,Albania-AMC,0.1521
3552440,Albania-AMC,0.1521
35524401,Albania-AMC,0.1521
35524402,Albania-AMC,0.1521
35524403,Albania-AMC,0.1521
35524404,Albania-AMC,0.1521
35524405,Albania-AMC,0.1521
35524406,Albania-AMC,0.1521
35524407,Albania-AMC,0.1521
35524408,Albania-AMC,0.1521
35524409,Albania-AMC,0.1521
35526160,Albania-AMC,0.1521
35526250,Albania-AMC,0.1521
35526293,Albania-AMC,0.1521
35526323,Albania-AMC,0.1521
35526350,Albania-AMC,0.1521
35526363,Albania-AMC,0.1521
35526373,Albania-AMC,0.1521
35526383,Albania-AMC,0.1521
35526450,Albania-AMC,0.1521
35526490,Albania-AMC,0.1521
35526523,Albania-AMC,0.1521
35526563,Albania-AMC,0.1521
35526650,Albania-AMC,0.1521
35526673,Albania-AMC,0.1521
35526723,Albania-AMC,0.1521
35526770,Albania-AMC,0.1521
35526840,Albania-AMC,0.1521
35526890,Albania-AMC,0.1521
35526950,Albania-AMC,0.1521
35526970,Albania-AMC,0.1521
35526990,Albania-AMC,0.1521
35527023,Albania-AMC,0.1521
35527043,Albania-AMC,0.1521
35527053,Albania-AMC,0.1521
35527070,Albania-AMC,0.1521
35527140,Albania-AMC,0.1521
35527190,Albania-AMC,0.1521
35527223,Albania-AMC,0.1521
35527253,Albania-AMC,0.1521
35527270,Albania-AMC,0.1521
35527323,Albania-AMC,0.1521
35527350,Albania-AMC,0.1521
35527370,Albania-AMC,0.1521
35527390,Albania-AMC,0.1521
35527440,Albania-AMC,0.1521
35527470,Albania-AMC,0.1521
35527490,Albania-AMC,0.1521
35527523,Albania-AMC,0.1521
35527550,Albania-AMC,0.1521
35527570,Albania-AMC,0.1521
35527590,Albania-AMC,0.1521
35527623,Albania-AMC,0.1521
35527660,Albania-AMC,0.1521
35527693,Albania-AMC,0.1521
35527723,Albania-AMC,0.1521
35527760,Albania-AMC,0.1521
35527790,Albania-AMC,0.1521
35527840,Albania-AMC,0.1521
35527860,Albania-AMC,0.1521
35527880,Albania-AMC,0.1521
35527923,Albania-AMC,0.1521
35527950,Albania-AMC,0.1521
35527970,Albania-AMC,0.1521
35527990,Albania-AMC,0.1521
35528123,Albania-AMC,0.1521
35528124,Albania-AMC,0.1521
35528143,Albania-AMC,0.1521
35528144,Albania-AMC,0.1521
35528190,Albania-AMC,0.1521
35528223,Albania-AMC,0.1521
35528250,Albania-AMC,0.1521
35528290,Albania-AMC,0.1521
35528323,Albania-AMC,0.1521
35528350,Albania-AMC,0.1521
35528390,Albania-AMC,0.1521
35528450,Albania-AMC,0.1521
35528523,Albania-AMC,0.1521
35528570,Albania-AMC,0.1521
35528623,Albania-AMC,0.1521
35528643,Albania-AMC,0.1521
35528680,Albania-AMC,0.1521
35528763,Albania-AMC,0.1521
35528790,Albania-AMC,0.1521
35528823,Albania-AMC,0.1521
35528850,Albania-AMC,0.1521
35528870,Albania-AMC,0.1521
35528890,Albania-AMC,0.1521
35528950,Albania-AMC,0.1521
35528970,Albania-AMC,0.1521
35528990,Albania-AMC,0.1521
35529140,Albania-AMC,0.1521
35529190,Albania-AMC,0.1521
35529240,Albania-AMC,0.1521
35529280,Albania-AMC,0.1521
35529340,Albania-AMC,0.1521
35529370,Albania-AMC,0.1521
35529390,Albania-AMC,0.1521
35529423,Albania-AMC,0.1521
35529460,Albania-AMC,0.1521
35529490,Albania-AMC,0.1521
35529523,Albania-AMC,0.1521
35529550,Albania-AMC,0.1521
35529570,Albania-AMC,0.1521
35529590,Albania-AMC,0.1521
35529623,Albania-AMC,0.1521
35529650,Albania-AMC,0.1521
35529680,Albania-AMC,0.1521
35529723,Albania-AMC,0.1521
35529750,Albania-AMC,0.1521
35529763,Albania-AMC,0.1521
35529780,Albania-AMC,0.1521
35531150,Albania-AMC,0.1521
35531151,Albania-AMC,0.1521
35531250,Albania-AMC,0.1521
35531350,Albania-AMC,0.1521
35531351,Albania-AMC,0.1521
3553270,Albania-AMC,0.1521
3553350,Albania-AMC,0.1521
3553351,Albania-AMC,0.1521
3553490,Albania-AMC,0.1521
3553491,Albania-AMC,0.1521
3553560,Albania-AMC,0.1521
35536023,Albania-AMC,0.1521
35536043,Albania-AMC,0.1521
35536063,Albania-AMC,0.1521
35536073,Albania-AMC,0.1521
35536090,Albania-AMC,0.1521
35536150,Albania-AMC,0.1521
35536240,Albania-AMC,0.1521
35536290,Albania-AMC,0.1521
35536340,Albania-AMC,0.1521
35536380,Albania-AMC,0.1521
35536440,Albania-AMC,0.1521
35536480,Albania-AMC,0.1521
35536540,Albania-AMC,0.1521
35536580,Albania-AMC,0.1521
35536640,Albania-AMC,0.1521
35536670,Albania-AMC,0.1521
35536740,Albania-AMC,0.1521
35536770,Albania-AMC,0.1521
35536840,Albania-AMC,0.1521
35536890,Albania-AMC,0.1521
35536923,Albania-AMC,0.1521
35536993,Albania-AMC,0.1521
35537140,Albania-AMC,0.1521
