Code,Location,Rate
93,Afghanistan,0.165
9375,Afghanistan Cellular-AT,0.1695
9370,Afghanistan Cellular-AWCC,0.168499998
9378,Afghanistan Cellular-Etisalat,0.154999998
9376,Afghanistan Cellular-MTN,-1
9377,Afghanistan Cellular-MTN,-1
937,Afghanistan Cellular-Others,0.166999998
9372,Afghanistan Cellular-Roshan,0.1785
9379,Afghanistan Cellular-Roshan,0.1785
9374,Afghanistan Cellular-Salaam,0.160000002
355,Albania,0.146899998
35568,Albania Cellular-AMC,-1
35569,Albania Cellular-Vodafone,-1
35521160,Albania-AMC,0.152149998
35521161,Albania-AMC,0.152149998
35521250,Albania-AMC,0.152149998
35521340,Albania-AMC,0.152149998
35521440,Albania-AMC,0.152149998
3552155,Albania-AMC,0.152149998
35521650,Albania-AMC,0.152149998
35521651,Albania-AMC,0.152149998
35521740,Albania-AMC,0.152149998
35521741,Albania-AMC,0.152149998
3552185,Albania-AMC,0.152149998
35521940,Albania-AMC,0.152149998
3552253,Albania-AMC,0.152149998
35522530,Albania-AMC,0.152149998
3552254,Albania-AMC,0.152149998
35522540,Albania-AMC,0.152149998
3552440,Albania-AMC,0.152149998
35524401,Albania-AMC,0.152149998
35524402,Albania-AMC,0.152149998
35524403,Albania-AMC,0.152149998
35524404,Albania-AMC,0.152149998
35524405,Albania-AMC,0.152149998
35524406,Albania-AMC,0.152149998
35524407,Albania-AMC,0.152149998
35524408,Albania-AMC,0.152149998
35524409,Albania-AMC,0.152149998
35526160,Albania-AMC,0.152149998
35526250,Albania-AMC,0.152149998
35526293,Albania-AMC,0.152149998
35526323,Albania-AMC,0.152149998
35526350,Albania-AMC,0.152149998
35526363,Albania-AMC,0.152149998
35526373,Albania-AMC,0.152149998
35526383,Albania-AMC,0.152149998
35526450,Albania-AMC,0.152149998
35526490,Albania-AMC,0.152149998
35526523,Albania-AMC,0.152149998
35526563,Albania-AMC,0.152149998
35526650,Albania-AMC,0.152149998
35526673,Albania-AMC,0.152149998
35526723,Albania-AMC,0.152149998
35526770,Albania-AMC,0.152149998
35526840,Albania-AMC,0.152149998
35526890,Albania-AMC,0.152149998
35526950,Albania-AMC,0.152149998
35526970,Albania-AMC,0.152149998
35526990,Albania-AMC,0.152149998
35527023,Albania-AMC,0.152149998
35527043,Albania-AMC,0.152149998
35527053,Albania-AMC,0.152149998
35527070,Albania-AMC,0.152149998
35527140,Albania-AMC,0.152149998
35527190,Albania-AMC,0.152149998
